player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Benjamin Pavard,DF,France,26-262,Bayern Munich,1996,1,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bernardo Silva,MF,Portugal,28-127,Manchester City,1994,5,4,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14
Borna Barišić,DF,Croatia,30-035,Rangers,1992,1,1,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.12,0.14,0.02,0.14
Borna Sosa,DF,Croatia,24-328,Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.01,0.08,0.09,0.01,0.09
Boualem Khoukhi,DF,Qatar,32-159,Al Sadd SC,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Boulaye Dia,FW,Senegal,26-029,Salernitana,1996,4,4,318,3.5,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.7,0.7,0.0,0.8,0.21,0.01,0.22,0.21,0.22
Brandon Aguilera,MF,Costa Rica,19-170,Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Breel Embolo,FW,Switzerland,25-304,Monaco,1997,4,4,323,3.6,2,0,2,0,0,0,0,0.56,0.00,0.56,0.56,0.56,2.3,2.3,0.1,2.4,0.64,0.03,0.66,0.64,0.66
Brenden Aaronson,MF,United States,22-054,Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24
Brennan Johnson,FW,Wales,21-206,Nott'ham Forest,2001,3,0,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.21,0.00,0.21,0.21,0.21
Bruno Fernandes,FW,Portugal,28-098,Manchester Utd,1994,4,4,356,4.0,2,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2.0,0.28,0.42,0.71,0.08,0.51
Bruno Guimarães,MF,Brazil,25-029,Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.92,0.00,0.92,0.92,0.92
Bruno Petković,FW,Croatia,28-090,Dinamo Zagreb,1994,5,1,209,2.3,1,0,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,0.1,0.1,0.3,0.5,0.06,0.17,0.23,0.06,0.23
Bryan Mbeumo,FW,Cameroon,23-130,Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.08,0.11,0.19,0.08,0.19
Bryan Oviedo,DF,Costa Rica,32-300,Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bryan Ruiz,MF,Costa Rica,37-119,Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bukayo Saka,FW,England,21-101,Arsenal,2001,4,4,288,3.2,3,0,3,0,0,0,0,0.94,0.00,0.94,0.94,0.94,0.6,0.6,0.7,1.3,0.20,0.20,0.40,0.20,0.40
